,sh.600000,sh.600016,sh.600019,sh.600028,sh.600029,sh.600030,sh.600031,sh.600036,sh.600048,sh.600050,sh.600104,sh.600196,sh.600276,sh.600309,sh.600340,sh.600519,sh.600585,sh.600690,sh.600703,sh.600837,sh.600887,sh.601066,sh.601088,sh.601111,sh.601138,sh.601166,sh.601186,sh.601211,sh.601229,sh.601288,sh.601318,sh.601319,sh.601328,sh.601336,sh.601390,sh.601398,sh.601601,sh.601628,sh.601668,sh.601688,sh.601766,sh.601800,sh.601818,sh.601857,sh.601888,sh.601939,sh.601988,sh.601989,sh.603259,sh.603993
2015-01-12,15.22,9.99,6.35,6.57,5.64,33.53,8.88,15.6,10.36,4.85,24.61,22.01,40.2,24.38,42.88,186.43,22.22,20.4,16.83,22.76,28.17,,20.83,8.94,,16.03,14.04,,,3.67,75.17,,6.48,46.78,8.12,4.82,31.13,34.82,6.36,24.32,10.13,13.88,4.52,11.62,46.4,6.25,4.4,8.49,,9.71
2015-01-13,15.18,9.84,6.33,6.58,5.65,32.17,8.89,15.43,10.27,4.85,25.15,22.23,40.24,24.64,44.08,184.88,22.14,20.97,17.46,21.83,28.36,,20.7,8.96,,15.89,14.24,,,3.66,75.12,,6.49,45.5,8.12,4.82,30.85,34.09,6.32,23.89,10.54,13.56,4.56,11.64,46.68,6.18,4.44,8.67,,9.43
2015-01-14,15.49,9.94,6.23,6.58,5.45,32.66,8.71,15.71,10.42,4.77,24.33,21.73,39.16,23.59,44.85,183.18,21.94,20.95,17.47,22.29,27.53,,20.54,8.69,,16.17,13.94,,,3.73,73.85,,6.63,45.32,7.96,4.89,31.0,32.93,6.32,25.01,10.22,12.82,4.64,11.31,46.07,6.33,4.59,8.76,,9.17
2015-01-15,16.12,10.23,6.44,6.9,5.47,33.37,9.03,16.18,11.25,4.97,24.67,21.93,38.99,23.52,47.05,186.07,22.0,20.98,17.26,23.09,27.79,,21.49,8.73,,16.85,14.69,,,3.86,78.87,,6.85,49.85,8.46,5.09,33.55,36.19,6.65,26.02,11.24,13.28,4.8,12.29,46.09,6.55,4.87,8.86,,9.28
2015-01-16,16.47,10.21,6.41,6.93,5.42,32.91,9.0,16.24,11.07,5.03,24.85,22.43,38.91,24.16,47.34,186.11,21.82,21.24,17.45,23.03,28.04,,21.68,8.59,,16.79,14.87,,,3.94,78.29,,7.21,52.64,8.52,5.15,33.73,36.8,6.68,25.72,12.36,13.2,4.84,12.6,46.01,6.64,4.98,9.09,,9.6
2015-01-19,14.82,9.19,5.81,6.24,4.88,29.62,8.1,14.63,9.96,4.54,22.85,21.1,39.0,21.74,46.01,175.48,19.77,19.38,16.31,20.73,26.4,,19.51,7.73,,15.11,13.38,,,3.55,70.46,,6.49,52.64,7.67,4.64,30.36,33.12,6.01,23.15,12.05,11.88,4.36,11.44,43.79,5.98,4.48,8.18,,8.91
2015-01-20,15.0,9.48,5.89,6.32,5.03,26.69,8.17,14.64,10.3,4.62,23.33,21.51,39.39,22.41,49.97,178.08,20.32,20.3,17.03,18.9,27.09,,19.57,7.94,,14.87,13.69,,,3.57,70.62,,6.48,52.64,8.0,4.64,30.13,34.4,6.02,21.21,13.26,11.99,4.28,11.83,45.19,5.94,4.45,8.12,,9.1
2015-01-21,15.74,9.98,6.12,6.6,5.23,28.75,8.49,15.3,11.0,4.8,23.95,22.29,40.77,22.78,50.35,182.36,20.82,20.62,17.24,20.79,27.81,,20.4,8.23,,15.61,14.14,,,3.77,77.36,,6.84,52.64,8.22,4.92,33.14,37.84,6.28,22.76,13.94,12.68,4.5,12.69,46.93,6.27,4.89,8.53,,9.7
2015-01-22,15.63,10.18,6.21,6.58,5.22,28.43,8.66,15.13,11.25,4.81,24.07,22.48,41.97,22.74,49.91,181.23,20.85,20.4,17.97,21.33,27.77,,20.44,8.14,,15.42,13.9,,,3.73,75.47,,6.88,52.64,8.13,4.88,33.48,39.23,6.22,22.63,14.23,12.47,4.44,12.63,46.5,6.2,4.84,9.12,,10.67
2015-01-23,15.63,10.38,6.14,6.6,5.26,29.21,8.48,15.17,11.43,4.79,23.79,22.19,41.86,22.91,50.42,181.02,20.78,20.18,17.34,21.71,27.66,,20.16,8.26,,15.45,13.94,,,3.74,76.8,,6.86,52.64,8.11,4.98,36.46,40.24,6.23,22.8,13.84,12.99,4.44,12.82,47.79,6.21,4.84,8.86,,10.93
